date,avg
2019-10-28,95.00
2019-10-29,95.00
2019-10-30,95.00
2019-10-31,95.00
2019-11-01,95.00
2019-11-02,95.00
2019-11-03,85.00
2019-11-04,95.00
2019-11-05,95.00
2019-11-06,95.00
2019-11-07,95.00
2019-11-08,75.00
2019-11-09,75.00
2019-11-10,105.00
2019-11-11,95.00
2019-11-12,105.00
2019-11-13,105.00
2019-11-14,105.00
2019-11-15,95.00
2019-11-16,105.00
2019-11-17,105.00
2019-11-18,105.00
2019-11-19,105.00
2019-11-20,95.00
2019-11-21,95.00
2019-11-22,95.00
2019-11-23,105.00
2019-11-24,105.00
2019-11-25,105.00
2019-11-26,105.00
2019-11-27,105.00
2019-11-28,105.00
2019-11-29,105.00
2019-11-30,105.00
2020-02-14,85.00
2020-02-15,78.00
2020-02-16,78.00
2020-02-17,78.00
2020-02-18,78.00
2020-02-19,78.00
2020-02-20,75.00
2020-02-21,78.00
2020-02-22,65.00
2020-02-23,68.00
2020-02-24,68.00
2020-02-25,68.00
2020-02-26,68.00
2020-02-27,65.00
2020-02-28,68.00
2020-02-29,68.00
2020-03-01,110.00
2020-03-02,68.00
2020-03-04,68.00
2020-03-05,68.00
2020-03-06,75.00
2020-03-07,75.00
2020-03-08,75.00
2020-03-09,75.00
2020-03-10,75.00
2020-03-11,75.00
2020-03-12,75.00
2020-03-13,75.00
2020-03-14,75.00
2020-03-15,75.00
2020-03-16,75.00
2020-03-17,75.00
2020-03-18,75.00
2020-03-19,75.00
2020-03-20,75.00
2020-03-21,75.00
2020-03-22,75.00
2020-03-23,75.00
2020-03-25,85.00
2020-03-26,85.00
2020-03-27,85.00
2020-03-28,75.00
2020-03-29,75.00
2020-03-30,75.00
2020-03-31,95.00
2020-04-01,95.00
2020-04-02,95.00
2020-04-03,95.00
2020-04-04,95.00
2020-04-05,95.00
2020-04-06,95.00
2020-04-07,95.00
2020-04-08,95.00
2020-05-17,115.00
2020-05-20,105.00
2020-05-21,115.00
2020-05-22,115.00
2020-05-23,115.00
2020-05-24,115.00
2020-05-25,115.00
2020-05-26,115.00
2020-05-27,115.00
2020-09-24,95.00
2020-09-26,95.00
2020-09-27,95.00
2020-09-28,95.00
2020-09-29,95.00
2020-09-30,95.00
2020-10-01,105.00
2020-10-02,95.00
2020-10-03,95.00
2020-10-04,95.00
2020-10-05,95.00
2020-10-06,95.00
2020-10-07,95.00
2020-10-08,95.00
2020-10-09,95.00
2020-10-10,95.00
2020-10-11,95.00
2020-10-12,95.00
2020-10-13,95.00
2020-10-14,95.00
2020-10-15,95.00
2020-10-16,95.00
2020-10-17,95.00
2020-10-18,85.00
2020-10-19,85.00
2020-10-20,85.00
2020-10-21,125.00
2020-10-22,105.00
2020-10-23,105.00
2020-10-24,105.00
2020-10-25,105.00
2020-10-26,95.00
2020-10-27,95.00
2020-10-28,95.00
2020-10-29,115.00
2020-10-30,105.00
2020-10-31,95.00
2020-11-01,95.00
2020-11-02,85.00
2020-11-03,75.00
2020-11-04,75.00
2020-11-05,75.00
2020-11-06,75.00
2020-11-07,75.00
2020-11-08,75.00
2020-11-09,75.00
2020-11-10,75.00
2020-11-11,77.00
2020-11-12,87.00
2020-11-13,85.00
2020-11-14,85.00
2020-11-15,85.00
2020-11-16,85.00
2020-11-17,85.00
2020-11-18,85.00
2020-11-19,77.00
2020-11-20,77.00
2020-11-21,75.00
2020-11-22,75.00
2020-11-23,80.00
2020-11-24,85.00
2020-11-25,73.00
2020-11-26,75.00
2020-11-27,75.00
2020-11-28,58.00
2020-11-29,58.00
2020-11-30,68.00
2020-12-01,68.00
2020-12-02,68.00
2020-12-03,68.00
2020-12-04,65.00
2020-12-05,68.00
2020-12-06,68.00
2020-12-08,85.00
2020-12-09,75.00
2020-12-10,75.00
2020-12-11,75.00
2020-12-12,75.00
2020-12-13,75.00
2020-12-15,75.00
2020-12-16,68.00
2020-12-17,65.00
2020-12-18,65.00
2020-12-19,65.00
2020-12-20,75.00
2020-12-21,67.00
2020-12-22,75.00
2020-12-23,75.00
2020-12-24,75.00
2020-12-25,75.00
2020-12-26,75.00
2020-12-27,75.00
2020-12-28,75.00
2020-12-29,75.00
2020-12-30,75.00
2020-12-31,75.00
2021-01-01,75.00
2021-01-02,75.00
2021-01-03,75.00
2021-01-04,75.00
2021-01-05,75.00
2021-01-06,75.00
2021-01-13,75.00
2021-01-14,75.00
2021-02-17,125.00
2021-02-20,135.00
2021-02-22,125.00
2021-02-23,135.00
2021-02-24,125.00
2021-02-25,135.00
2021-02-26,125.00
2021-02-27,125.00
2021-02-28,120.00
2021-03-01,125.00
2021-03-02,125.00
2021-03-03,125.00
2021-03-05,125.00
2021-03-06,140.00
2021-03-07,140.00
2021-03-08,125.00
2021-03-09,125.00
2021-03-10,125.00
2021-03-11,125.00
2021-03-12,145.00
2021-03-13,145.00
2021-03-14,145.00
2021-03-15,145.00
2021-03-16,145.00
2021-03-17,145.00
2021-03-18,145.00
2021-03-19,155.00
2021-03-20,155.00
