date,avg
2019-06-04,48.00
2019-06-05,42.00
2019-06-06,48.00
2019-06-07,42.00
2019-06-08,43.00
2019-06-09,42.00
2019-06-10,52.00
2019-06-11,58.00
2019-06-12,48.00
2019-06-13,58.00
2019-06-14,52.00
2019-06-15,68.00
2019-06-16,62.00
2019-06-17,62.00
2019-06-18,68.00
2019-06-19,58.00
2019-06-20,58.00
2019-06-21,58.00
2019-06-22,58.00
2019-06-23,58.00
2019-06-24,58.00
2019-06-25,58.00
2019-06-26,58.00
2019-06-27,58.00
2019-06-28,78.00
2019-06-29,78.00
2019-06-30,78.00
2019-07-01,62.00
2019-07-02,62.00
2019-07-03,63.00
2019-07-04,68.00
2019-07-05,68.00
2019-07-12,78.00
2019-07-14,78.00
2019-07-15,98.00
2019-07-16,98.00
2019-07-17,105.00
2019-07-18,105.00
2019-07-19,115.00
2019-07-20,95.00
2019-07-21,98.00
2019-07-22,98.00
2019-07-23,78.00
2019-07-24,88.00
2019-07-25,78.00
2019-07-26,78.00
2019-07-27,78.00
2019-07-28,78.00
2019-07-29,78.00
2019-07-30,78.00
2019-07-31,68.00
2019-08-01,78.00
2019-08-02,58.00
2019-08-03,78.00
2019-08-04,78.00
2019-08-05,78.00
2019-08-06,65.00
2019-08-07,62.00
2019-08-08,58.00
2019-08-09,52.00
2019-08-10,48.00
2019-08-11,58.00
2019-08-12,48.00
2019-08-13,42.00
2019-08-14,38.00
2019-08-15,48.00
2019-08-16,38.00
2019-08-17,42.00
2019-08-18,38.00
2019-08-19,38.00
2019-08-20,48.00
2019-08-21,48.00
2019-08-22,42.00
2019-08-23,40.00
2019-08-24,38.00
2019-08-25,38.00
2019-08-26,38.00
2019-08-27,38.00
2019-08-28,38.00
2019-08-29,38.00
2019-08-30,38.00
2019-08-31,38.00
2019-09-01,38.00
2019-09-02,38.00
2019-09-03,38.00
2019-09-04,38.00
2019-09-05,38.00
2019-09-06,38.00
2019-09-07,38.00
2019-09-08,38.00
2019-09-09,38.00
2019-09-10,38.00
2019-09-11,38.00
2019-09-12,42.00
2019-09-13,48.00
2019-09-14,55.00
2019-09-15,58.00
2019-09-16,58.00
2019-09-17,58.00
2019-09-20,58.00
2019-09-21,58.00
2019-09-22,58.00
2019-09-23,58.00
2019-09-26,98.00
2019-09-27,98.00
2019-09-28,98.00
2019-09-29,98.00
2019-09-30,98.00
2019-10-01,98.00
2019-10-02,98.00
2019-10-03,98.00
2019-10-04,78.00
2019-10-05,85.00
2019-10-06,78.00
2019-10-08,78.00
2019-10-09,78.00
2019-10-11,78.00
2019-10-12,78.00
2019-10-13,65.00
2019-10-14,58.00
2019-10-15,58.00
2019-10-16,48.00
2019-10-17,48.00
2019-10-18,48.00
2019-10-19,48.00
2019-10-20,42.00
2019-10-21,48.00
2019-10-22,42.00
2019-10-23,42.00
2019-10-24,45.00
2019-10-25,42.00
2019-10-26,42.00
2019-10-28,38.00
2019-11-02,48.00
2019-11-03,68.00
2019-11-04,58.00
2019-11-05,48.00
2019-11-06,58.00
2019-11-07,58.00
2019-11-08,58.00
2019-11-09,55.00
2019-11-10,58.00
2019-11-11,58.00
2019-11-12,58.00
2019-11-13,58.00
2019-11-14,58.00
2019-11-15,58.00
2019-11-16,58.00
2019-11-17,58.00
2019-11-18,55.00
2019-11-19,58.00
2019-11-20,58.00
2019-11-21,52.00
2019-11-22,58.00
2019-11-23,55.00
2019-11-24,55.00
2019-11-25,55.00
2019-11-26,55.00
2019-11-27,55.00
2019-11-28,55.00
2019-11-29,55.00
2019-11-30,55.00
2019-12-01,55.00
2019-12-02,55.00
2019-12-03,55.00
2019-12-04,58.00
2019-12-05,55.00
2019-12-06,65.00
2019-12-07,58.00
2019-12-08,55.00
2019-12-09,55.00
2019-12-10,68.00
2019-12-11,68.00
2019-12-12,62.00
2019-12-13,65.00
2019-12-14,68.00
2019-12-15,68.00
2019-12-16,68.00
2019-12-17,62.00
2019-12-18,65.00
2019-12-19,68.00
2019-12-20,78.00
2019-12-21,78.00
2019-12-22,78.00
2019-12-23,78.00
2019-12-24,77.00
2019-12-25,78.00
