date,avg
2019-11-19,98.00
2019-11-20,98.00
2019-11-21,85.00
2019-11-22,85.00
2019-11-23,85.00
2019-11-24,85.00
2019-11-25,82.00
2019-11-26,84.00
2019-11-27,85.00
2019-11-28,82.00
2019-11-29,85.00
2019-11-30,85.00
2019-12-01,82.00
2019-12-02,82.00
2019-12-03,85.00
2019-12-04,85.00
2019-12-05,85.00
2019-12-06,85.00
2019-12-07,105.00
2019-12-08,92.00
2019-12-09,88.00
2019-12-10,92.00
2019-12-11,92.00
2019-12-12,92.00
2019-12-13,85.00
2019-12-14,92.00
2019-12-15,92.00
2019-12-16,92.00
2019-12-17,92.00
2019-12-18,92.00
2019-12-19,88.00
2019-12-20,72.00
2019-12-21,72.00
2019-12-22,72.00
2019-12-23,82.00
2019-12-24,72.00
2019-12-25,72.00
2019-12-26,72.00
2019-12-27,72.00
2019-12-28,68.00
2019-12-29,72.00
2019-12-30,58.00
2019-12-31,62.00
2020-01-01,62.00
2020-01-02,58.00
2020-01-03,62.00
2020-01-04,58.00
2020-01-05,58.00
2020-01-06,52.00
2020-01-07,55.00
2020-01-08,58.00
2020-01-09,55.00
2020-01-10,48.00
2020-01-11,48.00
2020-01-12,48.00
2020-01-13,48.00
2020-01-14,48.00
2020-01-15,48.00
2020-01-16,48.00
2020-01-17,48.00
2020-01-18,42.00
2020-01-19,42.00
2020-01-20,38.00
2020-01-21,38.00
2020-01-22,33.00
2020-01-23,38.00
2020-01-24,33.00
2020-01-25,28.00
2020-01-26,28.00
2020-01-27,28.00
2020-01-28,28.00
2020-01-29,33.00
2020-01-30,28.00
2020-01-31,22.00
2020-02-01,28.00
2020-02-02,28.00
2020-02-03,28.00
2020-02-04,28.00
2020-02-05,22.00
2020-02-06,28.00
2020-02-07,28.00
2020-02-08,28.00
2020-02-09,28.00
2020-02-10,25.00
2020-02-11,22.00
2020-02-12,25.00
2020-02-13,22.00
2020-02-14,22.00
2020-02-15,22.00
2020-02-16,22.00
2020-02-17,22.00
2020-02-18,22.00
2020-02-19,22.00
2020-02-20,22.00
