date,avg
2019-12-11,115.00
2019-12-12,105.00
2019-12-13,105.00
2019-12-14,115.00
2019-12-15,105.00
2019-12-16,98.00
2019-12-17,82.00
2019-12-18,95.00
2019-12-19,95.00
2019-12-20,85.00
2019-12-21,85.00
2019-12-22,85.00
2019-12-23,85.00
2019-12-24,85.00
2019-12-25,82.00
2019-12-26,82.00
2019-12-27,82.00
2019-12-28,82.00
2019-12-29,82.00
2019-12-30,85.00
2019-12-31,82.00
2020-01-01,82.00
2020-01-02,98.00
2020-01-03,98.00
2020-01-04,115.00
2020-01-05,85.00
2020-01-06,85.00
2020-01-07,85.00
2020-01-08,68.00
2020-01-09,62.00
2020-01-10,62.00
2020-01-11,55.00
2020-01-12,62.00
2020-01-13,55.00
2020-01-14,48.00
2020-01-15,58.00
2020-01-16,55.00
2020-01-17,55.00
2020-01-18,55.00
2020-01-19,52.00
2020-01-20,55.00
2020-01-21,38.00
2020-01-22,38.00
2020-01-23,38.00
2020-01-24,35.00
2020-01-25,42.00
2020-01-26,45.00
2020-01-27,38.00
2020-01-28,48.00
2020-01-29,48.00
2020-01-30,45.00
2020-01-31,48.00
2020-02-01,48.00
2020-02-02,42.00
2020-02-03,40.00
2020-02-04,42.00
2020-02-05,42.00
2020-02-06,38.00
2020-02-07,38.00
2020-02-08,38.00
2020-02-09,38.00
2020-02-10,38.00
2020-02-11,38.00
2020-02-12,38.00
2020-02-13,38.00
2020-02-14,38.00
2020-02-15,38.00
2020-02-16,38.00
2020-02-17,38.00
2020-02-18,33.00
2020-02-19,35.00
2020-02-20,33.00
2020-02-21,28.00
2020-02-22,28.00
2020-02-23,28.00
2020-02-24,28.00
2020-02-25,33.00
2020-02-26,28.00
2020-02-27,48.00
2020-02-28,38.00
2020-02-29,33.00
2020-03-01,55.00
2020-03-02,33.00
2020-03-04,33.00
2020-03-05,33.00
2020-03-06,33.00
2020-03-07,48.00
2020-03-08,65.00
2020-03-09,38.00
2020-03-10,33.00
2020-03-11,33.00
2020-03-12,38.00
2020-03-13,42.00
2020-03-14,33.00
2020-03-15,38.00
2020-03-16,38.00
2020-03-17,33.00
2020-03-18,33.00
2020-03-19,33.00
2020-03-20,33.00
2020-03-21,38.00
2020-03-22,38.00
2020-03-23,38.00
2020-03-25,45.00
2020-03-26,45.00
2020-03-27,42.00
2020-03-28,42.00
2020-03-29,38.00
2020-03-30,38.00
2020-03-31,28.00
2020-04-01,33.00
2020-04-02,33.00
2020-04-03,28.00
2020-04-04,28.00
2020-04-05,28.00
2020-04-06,28.00
2020-04-07,28.00
2020-04-08,28.00
2020-04-13,38.00
2020-04-14,33.00
2020-04-15,33.00
2020-04-16,28.00
2020-04-17,28.00
2020-04-20,28.00
2020-04-21,28.00
2020-04-22,28.00
2020-04-23,28.00
2020-04-24,28.00
2020-04-25,28.00
2020-04-26,28.00
2020-04-27,28.00
2020-04-28,28.00
2020-04-29,28.00
2020-04-30,28.00
2020-05-01,33.00
2020-05-02,28.00
2020-05-03,28.00
2020-05-04,28.00
2020-05-05,28.00
2020-05-06,28.00
2020-05-07,28.00
2020-05-08,28.00
2020-05-09,28.00
2020-05-10,28.00
2020-05-11,28.00
2020-05-12,28.00
2020-05-13,28.00
2020-05-14,28.00
2020-05-15,28.00
2020-05-16,28.00
2020-05-17,28.00
2020-05-19,28.00
2020-05-20,28.00
2020-05-21,28.00
2020-05-22,28.00
2020-05-23,28.00
2020-05-24,22.00
2020-05-25,22.00
2020-05-26,22.00
2020-05-27,22.00
2020-05-28,22.00
2020-05-29,22.00
2020-11-21,55.00
2020-11-23,85.00
2020-11-25,67.00
2020-11-26,75.00
2020-11-27,63.00
2020-11-28,65.00
2020-11-29,65.00
2020-11-30,68.00
2020-12-01,68.00
2020-12-02,68.00
2020-12-03,68.00
2020-12-04,75.00
2020-12-05,75.00
2020-12-06,68.00
2020-12-07,58.00
2020-12-08,47.00
2020-12-09,38.00
2020-12-10,33.00
2020-12-11,38.00
2020-12-12,38.00
2020-12-13,40.00
2020-12-14,28.00
2020-12-15,28.00
2020-12-16,28.00
2020-12-17,35.00
2020-12-18,35.00
2020-12-19,33.00
2020-12-20,45.00
2020-12-21,45.00
2020-12-22,56.67
2020-12-23,57.50
2020-12-24,45.00
2020-12-25,45.00
2020-12-26,55.00
2020-12-27,50.00
2020-12-28,47.50
2020-12-29,55.00
2020-12-31,48.33
2021-01-01,48.33
2021-01-02,47.50
2021-01-03,42.33
2021-01-04,43.00
2021-01-05,45.00
2021-01-06,43.00
2021-01-07,38.00
2021-01-08,37.50
2021-01-09,35.00
2021-01-10,32.67
2021-01-11,32.67
2021-01-12,32.50
2021-01-13,30.00
2021-01-14,30.00
2021-01-15,36.67
2021-01-16,28.33
2021-01-17,27.67
2021-01-18,18.33
2021-01-19,19.00
2021-01-20,22.50
2021-01-21,27.50
2021-01-22,16.67
2021-01-23,22.50
2021-01-24,22.33
2021-01-25,17.50
2021-01-26,27.50
2021-01-27,30.00
2021-01-28,35.00
2021-01-29,30.00
2021-01-30,32.50
2021-01-31,32.67
2021-02-01,35.00
2021-02-02,32.50
2021-02-03,35.00
2021-02-04,40.00
2021-02-05,55.00
2021-02-06,45.00
2021-02-07,45.00
2021-02-08,46.67
2021-02-09,48.33
2021-02-10,46.67
2021-02-11,45.00
2021-02-12,45.00
2021-02-13,45.00
2021-02-14,42.33
2021-02-15,33.33
2021-02-16,37.50
2021-02-17,27.50
2021-02-18,27.67
2021-02-19,32.67
