date,avg
2019-06-25,78.00
2019-06-26,83.00
2019-06-27,88.00
2019-06-28,88.00
2019-06-29,88.00
2019-06-30,78.00
2019-07-01,72.00
2019-07-02,73.00
2019-07-03,72.00
2019-07-04,68.00
2019-07-05,68.00
2019-07-06,78.00
2019-07-08,78.00
2019-07-09,72.00
2019-07-10,78.00
2019-07-11,98.00
2019-07-13,98.00
2019-07-14,98.00
2019-07-15,98.00
2019-07-16,98.00
2019-07-17,98.00
2019-07-18,92.00
2019-07-19,92.00
2019-07-20,98.00
2019-07-21,92.00
2019-07-22,98.00
2019-07-23,78.00
2019-07-24,78.00
2019-07-25,72.00
2019-07-26,68.00
2019-07-27,68.00
2019-07-28,68.00
2019-07-29,78.00
2019-07-30,88.00
2019-07-31,92.00
2019-08-01,98.00
2019-08-02,92.00
2019-08-03,105.00
2019-08-04,92.00
2019-08-05,92.00
2019-08-06,88.00
2019-08-07,78.00
2019-08-08,82.00
2019-08-09,78.00
2019-08-10,72.00
2019-08-11,68.00
2019-08-12,72.00
2019-08-13,78.00
2019-08-14,78.00
2019-08-15,78.00
2019-08-16,72.00
2019-08-17,78.00
2019-08-18,85.00
2019-08-19,92.00
2019-08-20,98.00
2019-08-21,85.00
2019-08-22,92.00
2019-08-23,88.00
2019-08-24,68.00
2019-08-25,72.00
2019-08-26,75.00
2019-08-27,72.00
2019-08-28,72.00
2019-08-29,58.00
2019-08-30,60.00
2019-08-31,52.00
2019-09-01,50.00
2019-09-02,55.00
2019-09-03,50.00
2019-09-04,45.00
2019-09-05,45.00
2019-09-06,52.00
2019-09-07,52.00
2019-09-08,52.00
2019-09-09,48.00
2019-09-10,48.00
2019-09-11,55.00
2019-09-12,48.00
2019-09-13,52.00
2019-09-14,45.00
2019-09-15,58.00
2019-09-16,52.00
2019-09-17,55.00
2019-09-18,55.00
2019-09-19,48.00
2019-09-20,55.00
2019-09-21,55.00
2019-09-22,58.00
2019-09-23,59.00
2019-09-24,60.00
2019-09-25,65.00
2019-09-26,60.00
2019-09-27,58.00
2019-09-28,52.00
2019-09-29,58.00
2019-09-30,58.00
2019-10-01,58.00
2019-10-02,68.00
2019-10-03,72.00
2019-10-04,62.00
2019-10-05,78.00
2019-10-06,68.00
2019-10-07,68.00
2019-10-08,72.00
2019-10-09,72.00
2019-10-10,88.00
2019-10-11,78.00
2019-10-12,92.00
2019-10-13,88.00
2019-10-14,88.00
2019-10-15,88.00
2019-10-16,78.00
2019-10-17,78.00
2019-10-18,78.00
2019-10-19,75.00
2019-10-20,78.00
2019-10-21,78.00
2019-10-22,78.00
2019-10-23,78.00
2019-10-24,78.00
2019-10-25,78.00
2019-10-26,78.00
2019-10-27,98.00
2019-10-28,88.00
2019-10-29,95.00
2019-10-31,135.00
2019-11-01,155.00
2019-11-02,98.00
2019-11-03,98.00
2019-11-04,98.00
2019-11-05,88.00
2019-11-06,88.00
2019-11-07,88.00
2019-11-08,78.00
2019-11-09,68.00
2019-11-10,78.00
2019-11-11,67.00
2019-11-12,68.00
2019-11-13,68.00
2019-11-14,68.00
2019-11-15,65.00
2019-11-16,68.00
2019-11-17,68.00
2019-11-18,58.00
2019-11-19,55.00
2019-11-20,68.00
2019-11-21,65.00
2019-11-22,65.00
2019-11-23,55.00
2019-11-24,55.00
2019-11-25,55.00
2019-11-26,55.00
2019-11-27,55.00
