date,avg
2019-05-31,18.00
2019-06-01,18.00
2019-06-02,20.00
2019-06-03,18.00
2019-06-04,18.00
2019-06-05,18.00
2019-06-06,18.00
2019-06-07,18.00
2019-06-08,23.00
2019-06-09,28.00
2019-06-10,28.00
2019-06-11,27.00
2019-06-12,28.00
2019-06-13,28.00
2019-06-14,33.00
2019-06-15,35.00
2019-06-16,38.00
2019-06-17,38.00
2019-06-18,38.00
2019-06-19,38.00
2019-06-20,38.00
2019-06-21,38.00
2019-06-22,38.00
2019-06-23,33.00
2019-06-24,28.00
2019-06-25,33.00
2019-06-26,33.00
2019-06-27,28.00
2019-06-28,28.00
2019-06-29,38.00
2019-06-30,33.00
2019-07-01,33.00
2019-07-02,33.00
2019-07-03,33.00
2019-07-04,33.00
2019-07-05,33.00
2019-07-06,33.00
2019-07-07,33.00
2019-07-08,33.00
2019-07-09,33.00
2019-07-10,33.00
2019-07-11,33.00
2019-07-12,33.00
2019-07-13,38.00
2019-07-14,38.00
2019-07-15,48.00
2019-07-16,48.00
2019-07-17,48.00
2019-07-18,48.00
2019-07-19,65.00
2019-07-20,72.00
2019-07-21,75.00
2019-07-22,68.00
2019-07-23,78.00
2019-07-25,48.00
2019-07-26,48.00
2019-07-27,35.00
2019-07-28,51.00
2019-07-29,42.00
2019-07-30,48.00
2019-07-31,47.00
2019-08-01,55.00
2019-08-02,53.00
2019-08-03,58.00
2019-08-04,58.00
2019-08-05,58.00
2019-08-06,53.00
2019-08-07,48.00
2019-08-08,43.00
2019-08-09,38.00
2019-08-10,28.00
2019-08-11,35.00
2019-08-12,28.00
2019-08-13,33.00
2019-08-14,33.00
2019-08-15,35.00
2019-08-16,38.00
2019-08-17,35.00
2019-08-18,35.00
2019-08-19,33.00
2019-08-20,28.00
2019-08-21,27.00
2019-08-22,33.00
2019-08-23,30.00
2019-08-24,38.00
2019-08-25,33.00
2019-08-26,27.00
2019-08-27,30.00
2019-08-28,27.00
2019-08-29,33.00
2019-08-30,33.00
