date,avg
2015-01-01,39.00
2015-01-02,40.00
2015-01-03,40.00
2015-01-04,39.00
2015-01-05,39.00
2015-01-06,39.00
2015-01-07,38.00
2015-01-08,39.00
2015-01-09,39.00
2015-01-11,37.00
2015-01-12,37.00
2015-01-13,37.00
2015-01-14,37.00
2015-01-15,37.00
2015-01-16,36.00
2015-01-17,37.00
2015-01-18,39.00
2015-01-19,36.00
2015-01-20,36.00
2015-01-21,37.00
2015-01-22,36.00
2015-01-23,36.00
2015-01-25,37.00
2015-01-26,36.00
2015-01-27,35.00
2015-01-28,35.00
2015-01-29,35.00
2015-01-31,36.00
2015-02-01,39.00
2015-02-02,40.00
2015-02-03,40.00
2015-02-04,40.00
2015-02-05,40.00
2015-02-06,39.00
2015-02-07,40.00
2015-02-08,40.00
2015-02-09,39.00
2015-02-10,40.00
2015-02-11,39.00
2015-02-12,39.00
2015-02-13,39.00
2015-02-14,42.00
2015-02-15,42.00
2015-02-16,42.00
2015-02-18,42.00
2015-02-19,42.00
2015-02-20,42.00
2015-02-22,43.00
2015-02-23,43.00
2015-02-24,39.00
2015-02-25,40.00
2015-02-26,39.00
2015-02-27,40.00
2015-03-01,40.00
2015-03-02,39.00
2015-03-03,40.00
2015-03-06,40.00
2015-03-09,37.00
2015-03-10,37.00
2015-03-11,39.00
2015-03-12,37.00
2015-03-13,37.00
2015-03-14,39.00
2015-03-15,39.00
2015-03-16,40.00
2015-03-17,40.00
2015-03-18,39.00
2015-03-19,36.00
2015-03-20,36.00
2015-03-21,36.00
2015-03-22,36.00
2015-03-23,37.00
2015-03-24,36.00
2015-03-25,36.00
2015-03-26,34.00
2015-03-27,34.00
2015-03-28,34.00
2015-03-29,33.00
2015-03-30,34.00
2015-03-31,33.00
2015-04-01,33.00
2015-04-02,32.00
2015-04-03,33.00
2015-04-04,33.00
2015-04-05,33.00
2015-04-06,32.00
2015-04-07,32.00
2015-04-08,32.00
2015-04-10,41.00
2015-04-12,36.00
2015-04-13,36.00
2015-04-14,38.00
2015-04-15,36.00
2015-04-16,36.00
2015-04-17,36.00
2015-04-18,36.00
2015-04-19,34.00
2015-04-20,35.00
2015-04-21,34.00
2015-04-22,34.00
2015-04-23,34.00
2015-04-24,34.00
2015-04-25,34.00
2015-04-26,38.00
2015-04-27,38.00
2015-04-28,35.00
2015-04-29,37.00
2015-04-30,38.00
2015-05-01,37.00
2015-05-02,37.00
2015-05-03,36.00
2015-05-04,37.00
2015-05-05,38.00
2015-05-06,37.00
2015-05-07,37.00
2015-05-08,37.00
2015-05-10,37.00
2015-05-11,37.00
2015-05-12,37.00
2015-05-13,37.00
2015-05-14,37.00
2015-05-15,37.00
2015-05-16,37.00
2015-05-17,36.00
2015-05-18,37.00
2015-05-19,36.00
2015-05-20,37.00
2015-05-21,37.00
2015-05-22,37.00
2015-05-23,36.00
2015-05-24,36.00
2015-05-25,36.00
2015-05-26,37.00
2015-05-27,36.00
2015-05-28,37.00
2015-05-29,37.00
2015-05-30,37.00
2015-05-31,37.00
2015-06-01,39.00
2015-06-02,38.00
2015-06-03,38.00
2015-06-04,38.00
2015-06-05,38.00
2015-06-06,40.00
2015-06-07,39.00
2015-06-08,41.00
2015-06-09,41.00
2015-06-10,41.00
2015-06-11,41.00
2015-06-12,41.00
2015-06-13,41.00
2015-06-14,41.00
2015-06-15,41.00
2015-06-16,43.00
2015-06-17,41.00
2015-06-18,41.00
2015-06-19,42.00
2015-06-20,42.00
2015-06-21,42.00
2015-06-22,42.00
2015-06-23,42.00
2015-06-24,42.00
2015-06-25,42.00
2015-06-26,42.00
2015-06-27,42.00
2015-06-28,42.00
2015-06-29,42.00
2015-06-30,42.00
2015-07-01,42.00
2015-07-02,41.00
2015-07-03,42.00
2015-07-04,42.00
2015-07-05,42.00
2015-07-06,42.00
2015-07-07,42.00
2015-07-08,42.00
2015-07-09,42.00
2015-07-10,42.00
2015-07-11,42.00
2015-07-12,42.00
2015-07-13,42.00
2015-07-14,42.00
2015-07-15,42.00
2015-07-16,43.00
2015-07-17,43.00
2015-07-18,45.00
2015-07-19,45.00
2015-07-20,44.00
2015-07-21,55.00
2015-07-22,48.00
2015-07-23,48.00
2015-07-24,48.00
2015-07-25,54.00
2015-07-26,53.00
2015-07-27,55.00
2015-07-28,58.00
2015-07-29,62.00
2015-07-30,68.00
2015-07-31,68.00
2015-08-01,67.00
2015-08-02,63.00
2015-08-03,68.00
2015-08-04,68.00
2015-08-05,67.00
2015-08-06,68.00
2015-08-07,69.00
2015-08-08,71.00
2015-08-09,69.00
2015-08-10,69.00
2015-08-11,67.00
2015-08-12,67.00
