date,avg
2019-05-31,145.00
2019-06-01,145.00
2019-06-02,155.00
2019-06-03,145.00
2019-06-04,135.00
2019-06-05,135.00
2019-06-06,125.00
2019-06-07,125.00
2019-06-08,125.00
2019-06-09,115.00
2019-06-10,115.00
2019-06-11,120.00
2019-06-12,125.00
2019-06-13,115.00
2019-06-14,82.00
2019-06-15,78.00
2019-06-16,95.00
2019-06-17,68.00
2019-06-18,78.00
2019-06-19,78.00
2019-06-20,78.00
2019-06-21,68.00
2019-06-22,78.00
2019-06-23,68.00
2019-06-24,58.00
2019-06-25,68.00
2019-06-26,68.00
2019-06-27,78.00
2019-06-28,78.00
2019-06-29,78.00
2019-06-30,78.00
2019-07-01,58.00
2019-07-02,63.00
2019-07-03,62.00
2019-07-04,58.00
2019-07-05,55.00
2019-07-06,58.00
2019-07-07,58.00
2019-07-08,58.00
2019-07-09,48.00
2019-07-10,52.00
2019-07-11,58.00
2019-07-12,52.00
2019-07-17,75.00
2019-07-26,78.00
2019-07-27,78.00
2019-07-28,75.00
2019-08-03,78.00
2019-08-04,78.00
2019-08-05,65.00
2019-08-06,65.00
2019-08-07,68.00
2019-08-08,68.00
2019-09-01,78.00
2019-09-02,78.00
2019-09-03,78.00
2019-09-05,78.00
2019-09-06,78.00
2019-09-07,78.00
2019-09-08,68.00
2019-09-12,78.00
2019-09-13,78.00
2019-09-15,98.00
2019-09-16,98.00
2019-09-17,98.00
2019-09-21,98.00
2019-11-21,55.00
2019-11-22,55.00
2019-11-26,55.00
2019-11-27,55.00
2019-11-28,55.00
2019-11-29,55.00
2019-11-30,55.00
2019-12-01,48.00
2019-12-02,50.00
2019-12-03,48.00
2019-12-04,48.00
2019-12-05,55.00
2019-12-06,48.00
2019-12-07,48.00
2019-12-08,55.00
2019-12-09,65.00
2019-12-10,50.00
2019-12-11,55.00
2019-12-12,65.00
2019-12-13,65.00
2019-12-14,65.00
2019-12-15,58.00
2019-12-16,55.00
2019-12-17,58.00
2019-12-18,58.00
2019-12-19,58.00
2019-12-20,58.00
2019-12-21,55.00
2019-12-22,48.00
2019-12-23,48.00
2019-12-24,48.00
2019-12-25,48.00
2019-12-26,68.00
2019-12-27,58.00
2019-12-28,58.00
2019-12-29,55.00
2019-12-30,58.00
2019-12-31,58.00
2020-01-01,55.00
2020-01-02,55.00
2020-01-03,55.00
2020-01-04,55.00
2020-01-05,55.00
2020-01-06,55.00
2020-01-07,55.00
2020-01-08,55.00
2020-01-09,48.00
2020-01-10,55.00
2020-01-11,48.00
2020-01-12,48.00
2020-01-13,48.00
2020-01-14,48.00
2020-01-15,58.00
2020-01-16,58.00
2020-01-17,55.00
2020-01-18,65.00
2020-01-19,58.00
2020-01-20,58.00
2020-01-21,58.00
2020-01-22,58.00
2020-01-23,55.00
2020-01-24,55.00
2020-01-25,55.00
2020-01-26,55.00
2020-01-27,55.00
2020-01-28,55.00
2020-01-29,55.00
2020-01-30,58.00
2020-01-31,58.00
2020-02-01,62.00
2020-02-02,58.00
2020-02-03,58.00
2020-02-04,55.00
2020-02-05,55.00
2020-02-06,55.00
2020-02-07,55.00
2020-02-08,55.00
2020-02-09,55.00
2020-02-10,55.00
2020-02-11,55.00
2020-02-12,58.00
2020-02-13,58.00
2020-02-14,55.00
2020-02-15,55.00
2020-02-16,55.00
2020-02-17,78.00
2020-02-19,98.00
2020-02-20,98.00
2020-02-21,88.00
2020-02-22,78.00
2020-02-23,78.00
2020-02-24,65.00
2020-02-25,55.00
2020-02-26,58.00
2020-02-27,62.00
2020-02-28,58.00
2020-02-29,68.00
2020-03-01,75.00
2020-03-02,78.00
2020-03-04,78.00
2020-03-05,68.00
2020-03-06,68.00
2020-03-07,62.00
2020-03-08,65.00
2020-03-09,65.00
2020-03-10,98.00
2020-03-11,125.00
2020-03-12,115.00
2020-03-13,98.00
2020-03-14,98.00
2020-03-15,98.00
2020-03-16,98.00
2020-03-17,78.00
2020-03-18,98.00
2020-03-19,78.00
2020-03-20,75.00
2020-03-21,85.00
2020-03-22,115.00
2020-03-23,85.00
2020-03-30,195.00
2020-03-31,145.00
2020-04-01,65.00
2020-04-02,115.00
2020-04-03,98.00
2020-04-04,98.00
2020-04-05,78.00
2020-04-06,85.00
2020-04-07,78.00
2020-04-08,78.00
2020-04-13,78.00
2020-04-14,78.00
2020-04-15,78.00
2020-04-16,65.00
2020-04-17,65.00
2020-04-20,68.00
2020-04-21,55.00
2020-04-22,55.00
2020-04-23,55.00
2020-04-24,45.00
2020-04-25,48.00
2020-04-26,48.00
2020-04-27,38.00
2020-04-28,42.00
2020-04-29,42.00
2020-04-30,42.00
2020-05-01,42.00
2020-05-02,42.00
2020-05-03,42.00
2020-05-04,42.00
2020-05-05,42.00
2020-05-06,38.00
2020-05-07,42.00
2020-05-08,42.00
2020-05-09,42.00
2020-05-10,42.00
2020-05-11,42.00
2020-05-12,42.00
2020-05-13,42.00
2020-05-14,42.00
2020-05-15,42.00
2020-05-16,42.00
2020-05-17,38.00
2020-05-18,48.00
2020-05-19,55.00
2020-05-20,45.00
2020-05-21,48.00
2020-05-22,45.00
2020-05-23,38.00
2020-05-24,48.00
2020-05-25,45.00
2020-05-26,42.00
2020-05-27,42.00
2020-05-28,42.00
2020-05-29,42.00
2020-05-30,55.00
2020-05-31,42.00
2020-06-01,42.00
2020-06-02,48.00
2020-06-03,48.00
2020-06-04,38.00
2020-06-05,38.00
2020-06-06,28.00
2020-06-07,33.00
